1,2-1：指定したキーワードをもとにファイル内を検索するコマンドとして適切なものはどれか？,grep,find,locate,type
2,2-4：ファイル file1 から2文字目と5文字目がa、3文字目がbでない行を表示させるためのコマンドラインとして、適切なものはどれか？,grep '.a[^b].a' file1,grep '.a^b.a' file1,grep '*a^b*a' file1,grep '*a[^b]*a' file1
3,2-5：egrep コマンドに -v オプションをつけて実行した場合の説明で正しいものはどれか？,指定したパターンを含まない行を表示する,指定した文字列を含む行を強調表示する,コマンドのバージョン情報を表示する,大文字と小文字を区別しないで検索を行う
4,2-6：設定ファイル fileA では、行数に#がある行はコメントとして記述している。このファイルのコメント行の数をカウントするためのコマンドラインとして適切なものはどれか？,grep ^# fileA | wc -l,grep ^# fileA | wc -c,grep $# fileA | wc -c,grep $# fileA | wc -l
5,2-9：vi で画面を１画面進めるキー操作で、[Ctrl]キーと合わせて使用するキーとして適切なものはどれか？,f,a,d,b
6,2-13：vi エディタのコマンドモードで、 A と入力した後に b と入力した際の結果として適切なものはどれか？,カーソルにある行の最後にbが追加される,カーソルのある単語の最後に b が追加される,カーソルのある単語の先頭に b が追加される,カーソルのある行の先頭に b が追加される
7,2-14：vi エディタでファイルを編集中に、現在カーソルのある行とそれに続く16行目までの合計17行を削除したい場合、viコマンドとして適切なものはどれか？,17dd,d17d,"1,17d",dd17
8,2-15：vi エディタでファイルを編集中に、2行切り取りをして、数行移動後、カーソル行の下の行に貼り付ける場合、使用するコマンドはどれか？,p,P,i,o,a
9,2-16：あるファイルを vi エディタで開いた。ファイルの先頭から yuko という文字列を検索したい際、vi コマンドとして適切なものはどれか？,/yuko,:yuko,:s yuko,?yuko
10,2-10：vi エディタで編集中の内容をすべて破棄して終了するコマンドとして適切なものはどれか？,:q!,:w,:wq!,:q,:quit
11,2-12：vi 実行中に:w! と入力したが権限がなく書き込めなかった。vi から抜けずに編集中のファイル myfile のパーミッションを見るキー操作として、適切なものはどれか？,:! ls -l myfile,:esc ls -l myfile,:\ ls -l myfile,:v ls -l myfile
